model_name,version_name,exterior_colour,interior_colour,vin,plate_number,plate_registration_date,km,battery,usage_update_date,key_1,key_2,current_location,model_information
ATTO 2,Boost,Hiking Green,Black,LC0CE4CB1R4671675,HB-143-MT,2025-01-23,2117.0,,2025-07-23,LSQ,LSQ,LSQ,821f7122-c1ac-4eb1-abef-64aceea75dde
ATTO 2,Boost,Cosmos Black,Black,LC0CE4CBXR4681878,HB-265-MT,2025-01-23,,,,Bureau FR,LSQ/Prêté,Haikel LSQ/Prêté,47e779ed-6b34-4d98-94d5-dec2b4064d12
ATTO 2,Active,Climbing grey,Black,LC0CE4CB1S4015904,HC-106-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes,d4508727-1a2a-4bec-8ceb-01598bd551c8
ATTO 2,Active,Hiking Green,Black,LC0CE4CB3S4012809,HC-123-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes,8e36bdfd-7ab8-4754-9313-17935b8c0367
ATTO 2,Active,Skiing White,Black,LC0CE4CB8S4015785,HC-127-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes,3e7ed8cd-cbf1-4e1d-8cef-304cb0d81aa8
ATTO 2,Boost,Climbing grey,Black,LC0CE4CB8S4024521,HC-131-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes,91cd2e05-1aa8-4e36-a489-b9e866b7fb09
ATTO 2,Boost,Climbing grey,Black,LC0CE4CB1S4024554,HC-136-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes,91cd2e05-1aa8-4e36-a489-b9e866b7fb09
ATTO 2,Boost,Cosmos Black,Black,LC0CE4CB6S4022783,HC-148-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes,47e779ed-6b34-4d98-94d5-dec2b4064d12
ATTO 2,Boost,Cosmos Black,Black,LC0CE4CB9S4022745,HC-154-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes,47e779ed-6b34-4d98-94d5-dec2b4064d12
ATTO 2,Boost,Cosmos Black,Black,LC0CE4CB1S4022772,HC-156-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes,47e779ed-6b34-4d98-94d5-dec2b4064d12
ATTO 2,Boost,Skiing White,Black,LC0CE4CB8R4650922,HC-178-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes,21d2610a-2551-4d60-9157-a971ce562e87
ATTO 2,Boost,Skiing White,Black,LC0CE4CB2R4650995,HC-181-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes,21d2610a-2551-4d60-9157-a971ce562e87
ATTO 2,Boost,Skiing White,Black,LC0CE4CB9R4650993,HC-183-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes,21d2610a-2551-4d60-9157-a971ce562e87
ATTO 2,Boost,Skiing White,Black,LC0CE4CB8R4650998,HC-188-FC,2025-02-28,,100.0,,Bureau FR,Bureau FR,Bureau FR,21d2610a-2551-4d60-9157-a971ce562e87
ATTO 2,Boost,Skiing White,Black,LC0CE4CB8R4651035,HC-190-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes,21d2610a-2551-4d60-9157-a971ce562e87
ATTO 2,Boost,Climbing grey,Black,LC0CE4CB2S4024563,HC-139-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes,91cd2e05-1aa8-4e36-a489-b9e866b7fb09
ATTO 2,Boost,Cosmos Black,Black,LC0CE4CB2S4022845,HC-161-FC,2025-02-28,,,,Bureau FR,Bureau FR,Bureau FR,47e779ed-6b34-4d98-94d5-dec2b4064d12
ATTO 2,Boost,Hiking Green,Black,LC0CE4CB0S4024657,HC-176-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes,821f7122-c1ac-4eb1-abef-64aceea75dde
ATTO 2,Boost,Skiing White,Black,LC0CE4CB2R4650950,HC-194-FC,2025-02-28,,,,Bureau FR,Bureau FR,Bureau FR,21d2610a-2551-4d60-9157-a971ce562e87
ATTO 2,Active,Cosmos Black,Black,LC0CE4CB1S4012761,HC-115-FC,2025-02-28,,,,Jamais reçu,Jamais reçu,Jamais reçu,68ad87db-aa35-4a20-b4c4-56db6b5dd09e
ATTO 2,Boost,Hiking Green,Black,LC0CE4CB9R4671682,HB-179-MT,2025-01-23,630.0,69.0,2025-06-12,Bureau FR,Nicolas Buisson,Nicolas Buisson,821f7122-c1ac-4eb1-abef-64aceea75dde
ATTO 2,Boost,Hiking Green,Black,LC0CE4CBXS4024679,HC-165-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes,821f7122-c1ac-4eb1-abef-64aceea75dde
ATTO 2,Boost,Climbing grey,Black,LC0CE4CB5S4024721,HC-141-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes,91cd2e05-1aa8-4e36-a489-b9e866b7fb09
ATTO 3,Design,Surf Blue,Blue&Grey,LGXCE4CB8P2008254,GP-663-CW,2023-05-25,24934.0,100.0,2025-07-30,Bureau FR,IT培训 /Ziyi,IT培训 /Ziyi,be035eeb-98c6-43b8-9b57-435ec04019cf
ATTO 3,Design,Parkour Red,Blue&Grey,LGXCE4CB5P2013248,GP-723-CW,2023-05-25,20121.0,,2025-07-24,Bureau FR,,Bureau FR,40d6a1c9-812c-48b9-b54f-077a24662740
ATTO 3,Design,Parkour Red,Blue&Grey,LGXCE4CB9P2016749,GP-959-CW,2023-05-25,8485.0,,2025-01-23,Bureau FR,Bureau FR,Colombes,40d6a1c9-812c-48b9-b54f-077a24662740
ATTO 3,Comfort,Climbing grey,Blue&Grey,LGXCE4CB8P2015236,GP-188-DR,2023-05-26,44093.0,100.0,2025-08-11,Bureau FR,Bureau FR,Colombes,e903b61e-767e-4741-a677-defe1728e7cb
ATTO 3,Design,Green,Blue&Grey,LGXCE4CB5P2215068,HB-129-SF,2025-02-06,168.0,98.0,2025-07-23,Bureau FR,Bureau FR,Colombes,41553bd0-4cde-4956-8fa4-295a6497c9ea
ATTO 3,Design,Red,Blue&Grey,LGXCE4CB2P2209308,HB-523-TS,2025-02-06,410.0,100.0,2025-07-30,Bureau FR,Bureau FR,Colombes,700f7566-b3b5-4f43-8791-bf5959f95f56
ATTO 3,Design,Climbing grey,,LGXCE4CB7P2008035,GP-693-CW,2025-02-28,13897.0,72.0,2025-08-28,Bureau FR,Bureau FR,Bureau FR,2233b111-9f09-4038-8848-0469edd657fd
ATTO 3,Comfort,Climbing grey,Blue&Grey,LGXCE4CB3P2207230,GY-463-BW,2024-07-04,2545.0,,2025-01-23,Jean Edouard,Jean Edouard,Jean Edouard,e903b61e-767e-4741-a677-defe1728e7cb
ATTO 3,Comfort,Ski White,Blue&Grey,LGXCE4CB1P2015224,GP-187-DR,2023-05-26,7800.0,,2025-07-21,Guillaume CALVAR,Guillaume CALVAR,Guillaume CALVAR,76bac462-0580-460e-bdb6-86b913072a98
ATTO 3,Comfort,Climbing grey,Blue&Grey,LGXCE4CB5P2012701,GP-099-DR,2023-05-26,18069.0,,2025-07-31,Song YU,Song YU,Song YU,e903b61e-767e-4741-a677-defe1728e7cb
ATTO 3,Design,Climbing grey,Blue&Grey,LGXCE4CB8P2010781,GP-637-CW,2023-05-25,12371.0,,2025-07-18,Morgane SIRODOT,Morgane SIRODOT,Morgane SIRODOT,336cb6fe-cbaf-445d-b985-bd178bd08ff1
ATTO 3 2025,Design,Cosmos Black,Black,LGXCE4CB3S2011359,HB-289-MT,2025-01-23,1225.0,57.0,2025-07-23,Bureau FR,LSQ,LSQ,ca16955f-754a-4058-bf63-77852989106f
ATTO 3 2025,Comfort-LHD,Space Black,Blue&Grey,LGXCE4CB1R2226913,HC-047-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes,505aa31f-e4b1-4606-a1e7-cbd87a5eab9d
ATTO 3 2025,Design-LHD,Skiing White,Black,LGXCE4CB3R2169243,HC-091-FC,2025-02-28,405.0,,2025-07-23,Bureau FR,Bureau FR,Bureau FR,d78ec6f5-6ac1-4fe8-a4b2-b9af5b0cf189
ATTO 3 2025,Design-LHD,Space Black,Black,LGXCE4CB2S2035619,HC-082-FC,2025-02-28,,,,Jamais reçu,Jamais reçu,Jamais reçu,6fd74476-9bd6-4cfc-b2e7-a085b391fee9
ATTO 3 2025,Design-LHD,Skiing White,Black,LGXCE4CB1R2168429,HC-067-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes,d78ec6f5-6ac1-4fe8-a4b2-b9af5b0cf189
ATTO 3 2025,Design-LHD,Climbing grey,Blue&Grey,LGXCE4CB9R2228361,HC-077-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes,1602fa39-fef7-40be-bbf6-262db1e1d4b1
ATTO 3 2025,Design,Surfing Blue,Blue&Grey,LGXCE4CB9R2174138,HB-862-MR,2025-01-23,1000.0,,2025-07-18,Lisa LI,Lisa LI,Lisa LI,61d57e55-b6cd-45e3-9d80-2afbe11d32b7
ATTO 3 2025,Comfort-LHD,Climbing grey,Black,LGXCE4CB0S2039023,HC-054-FC,2025-02-28,,,,Xi,Xi,Xi,062fdb95-30f3-48d1-82b9-11d5b9bd7c1f
ATTO 3 2025,Comfort-LHD,Space Black,Black,LGXCE4CB1S2039032,HC-059-FC,2025-02-28,,,,Michael Martinez,Michael Martinez,Michael Martinez,5348ad52-d1fa-4ca7-84d6-a7a65cce7d06
