model_name,version_name,exterior_colour,interior_colour,vin,plate_number,plate_registration_date,km,battery,usage_update_date,key_1,key_2,current_location
SEAL U DM-i,SEAL U DM-I Boost,Delan Black,BLACK,LGXC74C44S0119853,HD-717-DG,2025-04-23,713.0,,2025-07-23,Bureau FR,Stephane Louvier/ Romain B,Stephane Louvier/ Romain B
SEALION 7,Excellence,Space Black,Black,LGXCF4CD6R2155576,HA-476-DF,2024-11-08,7030.0,,2025-07-03,Bureau FR,Laurent depuis janvier,Laurent depuis janvier
SEALION 7,Excellence,Atlantis Grey,Black,LGXCF4CDXR2158268,HA-725-DG,2024-11-08,11773.0,65.0,2025-07-23,Bureau FR,LSQ,LSQ
SEALION 7,Excellence,Space Black,Black,LGXCF4CD5R2155570,HA-881-DF,2024-11-08,15780.0,,2025-07-23,Bureau FR,Bureau FR,Colombes
SEALION 7,Excellence,Space Black,Black,LGXCF4CD4R2155561,HA-905-DF,2024-11-08,6040.0,100.0,2025-07-23,Bureau FR,Bureau FR,Bureau FR
SEALION 7,Excellence,Space Black,Black,LGXCF4CD7R2152413,HA-097-DG,2024-11-08,1471.0,,2025-01-23,Bureau FR,Bureau FR,Bureau FR
SEALION 7,Excellence,Space Black,Black,LGXCF4CD9R2152414,HA-342-DG,2024-11-08,2853.0,,2024-12-21,Haikel,Haikel,Haikel
SEALION 7,Excellence,Space Black,Black,LGXCF4CD4R2152420,HA-305-DG,2024-11-08,1121.0,,2025-01-23,Bureau FR,LSQ,LSQ
SEALION 7,Excellence,Space Black,Black,LGXCF4CD3R2150819,HA-812-DF,2024-11-08,4058.0,100.0,2025-07-28,Bureau FR,Bureau FR,Bureau FR
SEALION 7,Excellence,Skiing White,Black,LGXCF4CD1R2151211,HA-596-DF,2024-11-08,4358.0,88.0,2025-07-23,Bureau FR,Bureau FR,Colombes
SEALION 7,Excellence,Space Black,Black,LGXCF4CD7R2150824,HA-628-DF,2024-11-08,5982.0,,2025-07-23,Bureau FR,Bureau FR,Colombes
SEALION 7,Sealion 7 Comfort,Indigo Grey,Black,LGXCH4CD6S2017875,HC-246-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes
SEALION 7,Sealion 7 Comfort,Atlantis Grey,Black,LGXCH4CD0S2040410,HC-250-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes
SEALION 7,Sealion 7 Design,Atlantis Grey,Black,LGXCF4CD3S2040665,HC-252-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes
SEALION 7,Sealion 7 Design,Indigo Grey,Black,LGXCF4CD9S2039388,HC-253-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes
SEALION 7,Sealion 7 Excellence,Atlantis Grey,Black,LGXCF4CD2S2040592,HC-255-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes
SEALION 7,Sealion 7 Excellence,Atlantis Grey,Black,LGXCF4CD0S2040591,HC-256-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes
SEALION 7,Excellence,Atlantis Grey,Black,LGXCF4CD5R2158212,HA-904-DG,2024-11-08,1465.0,,2025-01-23,Bureau FR,LSQ/prêté,LSQ/prêté
SEALION 7,Excellence,Atlantis Grey,Black,LGXCF4CD8R2158267,HA-699-DG,2024-11-08,1317.0,100.0,2025-07-23,Bureau FR,Bureau FR,Colombes
SEALION 7,Excellence,Space Black,Black,LGXCF4CD9R2150811,HA-439-DG,2024-11-08,1181.0,,2025-07-23,Bureau FR,LSQ,LSQ
SEALION 7,Excellence,Atlantis Grey,Black,LGXCF4CD5R2150806,HA-589-DG,2024-11-08,777.0,,2025-01-23,Bureau FR,LSQ/prêté,LSQ/prêté
SEALION 7,Excellence,Atlantis Grey,Black,LGXCF4CDXR2158304,HA-626-DG,2024-11-08,6460.0,100.0,2025-06-12,Bureau FR,Bureau FR,Colombes
SEALION 7,Excellence,Skiing White,Black,LGXCF4CD7R2155585,HA-736-DF,2024-11-08,4521.0,100.0,2025-07-23,Bureau FR,Ayala Olivier/ Geoffrey,Ayala Olivier/ Geoffrey
SEALION 7,Excellence,Atlantis Grey,Black,LGXCF4CD2R2158216,HA-881-DG,2024-11-08,3578.0,,1900-04-09,Bureau FR,Bureau FR,Colombes
SEALION 7,Excellence,Skiing White,Black,LGXCF4CD3R2152425,HA-017-DG,2024-11-08,1716.0,100.0,2025-07-23,Bureau FR,Bureau FR,Colombes
SEALION 7,Excellence,Space Black,Black,LGXCF4CD0R2155587,HA-479-DG,2024-11-08,11565.0,100.0,2025-07-23,Bureau FR,Bureau FR,Colombes
SEALION 7,Excellence,Space Black,Black,LGXCF4CD1R2150799,HA-985-DF,2024-11-08,3907.0,82.0,2025-07-23,Bureau FR,Bureau FR,Colombes
SEALION 7,Sealion 7 Comfort,Polar White,Black,LGXCH4CD1S2016956,HC-248-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes
SEALION 7,Sealion 7 Design,Polar White,Black,LGXCF4CD0R2174754,HC-251-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes
SEALION 7,Sealion 7 Excellence,Polar White,Black,LGXCF4CD9S2039343,HC-257-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes
SEALION 7,Sealion 7 Design,Polar White,Black,LGXCF4CD0R2172938,HC-254-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes
TANG,Flagship,Emperor Red,Brown,LC0CF4CD6P0008721,GY-435-TB,2024-08-17,14213.0,44.0,2025-07-23,Bureau FR,Bureau FR,Colombes
TANG,Flagship,Emperor Red,Brown,LC0CF4CD3P0008708,GS-588-FQ,2024-06-11,10244.0,100.0,2025-07-23,Bureau FR,Bureau FR,Colombes
TANG,Flagship,White,,LC0CF4CD0P0198483,GY-439-TB,2024-08-17,581.0,91.0,2025-07-23,Bureau FR,Colombes,Colombes
TANG,Flagship,White,,LC0CF4CD2P0171382,GY-452-TB,2024-08-17,2207.0,93.0,2025-07-23,Bureau FR,Bureau FR,Colombes
TANG,Flagship,White,,LC0CF4CD5P0198530,GY-443-TB,2024-08-17,60.0,92.0,2025-07-23,Bureau FR,Bureau FR,Colombes
TANG ,Flagship,Mountain Grey,,LC0CF4CD6P0245922,GY-445-TB,2024-08-17,5800.0,,2025-07-18,Grégoire CHASSERAY MUGUET,Grégoire CHASSERAY MUGUET,Grégoire CHASSERAY MUGUET
TANG 2024,AWD 7P,Silver Sand Black,Orange,LC0CF4CD6R0449011,HB-376-MT,2025-01-23,28.0,,2025-03-26,Bureau FR,Bureau FR,Bureau FR
TANG 2024,AWD 7P,Mountain Grey,Black,LC0CF4CD6R0449123,HB-344-MT,2025-01-23,2713.0,100.0,2025-07-23,Bureau FR,Bureau FR,Colombes
Yangwang U8,,,,,,,,,,EU,EU,Belgique
SEAL 6 DM-i Wagon,Comfort Lite,Atlantis Blue,Blue&black,LC0C74C43S4328660,HF-469-GH,2025-08-28,,,,Bureau FR,Olivier,Olivier
SEAL 6 DM-i Wagon,Comfort Lite,Atlantis Blue,Blue&black,LC0C74C46S4328460,HF-340-GH,2025-08-28,,,,Bureau FR,Samuel,Samuel
SEAL 6 DM-i Wagon,Comfort Lite,Atlantis Blue,Blue&black,LC0C74C4XS4328669,HF-597-GH,2025-08-28,,,,,,
SEAL 6 DM-i Wagon,Comfort Lite,Atlantis Blue,Blue&black,LC0C74C47S4328659,HF-785-GH,2025-08-28,,,,,,
SEAL 6 DM-i Wagon,Comfort Lite,Atlantis Blue,Blue&black,LC0C74C42S4328665,HF-767-GH,2025-08-28,,,,,,
SEAL 6 DM-i Wagon,Comfort Lite,Atlantis Blue,Blue&black,LC0C74C48S4328461,HF-883-GH,2025-08-28,,,,,,
SEAL 6 DM-i Sedan,Atlantis Blue,Blue&Black,,LC0C76C40S6179141,HF-431-GJ,2025-08-28,,,,,,
SEAL 6 DM-i Sedan,Atlantis Blue,Blue&Black,,LC0C76C42S6179187,HF-509-GJ,2025-08-28,,,,,,
SEAL 6 DM-i Sedan,Polar White,Blue&Black,,LC0C76C44S6179305,HF-582-GJ,2025-08-28,,,,,,
SEAL 6 DM-i Sedan,Atlantis Blue,Blue&Black,,LC0C76C48S6179176,HF-709-GJ,2025-08-28,,,,,,
SEAL 6 DM-i Sedan,Obsidian Black,Blue&Black,,LC0C76C40S6179608,HF-797-GJ,2025-08-28,,,,,,
SEAL 6 DM-i Sedan,Atlantis Blue,Blue&Black,,LC0C76C42S6179142,HF-883-GJ,2025-08-28,,,,,,
