model_name,version_name,id,interior_colour,exterior_colour,status,created_time,modified_by,modified_time
DOLPHIN,Design,88c283c7-210d-42d7-8594-49bc950c3823,Black&Grey,Skiing White + Urban Grey,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
ATTO 2,Active,8e36bdfd-7ab8-4754-9313-17935b8c0367,Black,Hiking Green,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
ATTO 2,Boost,91cd2e05-1aa8-4e36-a489-b9e866b7fb09,Black,Climbing grey,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
SEAL,Design,9a6f8a1c-43a5-4902-910a-6f09007d574a,Tahitian Blue,Ice Blue,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
DENZA Z9 GT,"(20)R20 ",9aa9bbe1-c002-42e0-8572-4e06b4a8af6b," Black Coquette + Red Velvet ",Green,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
DOLPHIN,Design,9b1f6693-2a29-4fa8-b014-c8f96ed9f482,Blue&Grey,Surfing Blue + Urban Grey,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
TANG,Flagship,9b97cf4a-896e-4bf1-b7e4-dc4e6b489c5a,Brown,Emperor Red,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
Dolphin Surf,Comfort,9d72013b-4f0b-433e-87ca-680c705795d6,,Jaune,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
SEAL U DM-i,SEAL U DM-I Boost,a1527093-b843-4731-b522-30683b839bd1,Black,Time grey,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
DENZA Z9 GT,(30)R21,a18c77b0-deb4-49c8-b41f-7788dfbaaf1e,Black Coquette + Red Velvet,Black Emerald,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
SEAL,Excellence,a20f6129-84c3-4c56-9098-a798409495d0,Black Seal,Shadow green,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
SEALION 7,Sealion 7 Comfort,a5f8a68a-32e6-4168-9446-a573b13cec7c,Black,Polar White,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
SEAL,SEAL Excellence-AWD-LHD,b2b7fefe-4580-417c-a3aa-e95ddd2f3e84,Black,Space Black,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
DOLPHIN,Design,b674939e-46d1-4b7f-aac7-0b4a18947e2f,Black&Grey,Jet Black + Atlantis grey,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
ATTO 3,Design,be035eeb-98c6-43b8-9b57-435ec04019cf,Blue&Grey,Surf Blue,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
SEAL,SEAL Excellence-AWD-LHD,c0d80f9e-1ded-4222-bbe5-f792b6bc2d7b,Black,Indigo Grey,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
SEAL U DM-i,Design,c1407d0c-328e-4c54-a8d0-18ede5edce14,Black,Tianqing,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
HAN,,c62e2f93-99e7-42ff-8e8f-f09930518907,Brown,Space Black,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
DENZA D9,AWD Comfort,c947efc3-24f5-4686-95a9-27bacfbd92b1,Black&Beige,Blue,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
ATTO 3 2025,Design,ca16955f-754a-4058-bf63-77852989106f,Black,Cosmos Black,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
SEAL U DM-i,SEAL U DM-I Design,cf6556d5-a673-487a-b4e3-4d92340f2207,Black,Delan Black,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
SEAL,Excellence,d07b519e-932d-4dfb-94f0-6b18b1f51769,Tahitian Blue,Ice Blue,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
SEALION 7,Sealion 7 Design,d0f8ddc5-3f91-4e50-b632-fb44dc691cdb,Black,Atlantis Grey,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
ATTO 2,Active,d4508727-1a2a-4bec-8ceb-01598bd551c8,Black,Climbing grey,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
ATTO 3 2025,Design-LHD,d78ec6f5-6ac1-4fe8-a4b2-b9af5b0cf189,Black,Skiing White,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
TANG 2024,AWD 7P,db02e816-eab5-466b-84e5-e46819d27713,Orange,Silver Sand Black,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
SEALION 7,Sealion 7 Design,e1643f4d-36d8-4ca9-b73a-2613fdcd480b,Black,Polar White,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
ATTO 3,Comfort,e903b61e-767e-4741-a677-defe1728e7cb,Blue&Grey,Climbing grey,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
SEAL,,ef2d340c-c799-4640-b7a8-b3e0bda3b91e,,Shadow Green,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
SEAL U DM-i,Boost,f53797c0-8346-43b6-99b8-e66a7037e319,Black&Brown,Delan Black,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
HAN,Executive,f6f8720e-71dd-4bc2-bfe8-d4f98aa607ca,Red Clay Brown,Ski White,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
SEAL U,Design,f8f6e8ce-4bce-45be-af8d-50fd85bb1d23,Black,Tianqing,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
SEALION 7,Sealion 7 Comfort,fe07d764-e2d3-445a-b054-60d956524539,Black,Indigo Grey,enable,2025-10-07 09:12:48.032044+00,,2025-10-07 09:12:48.032044+00
